구별,동별,연도,면적
성북구,월곡2동,2018,1.36
성북구,월곡2동,2019,1.36
성북구,월곡2동,2020,1.36
성북구,월곡2동,2021,1.36
성북구,월곡2동,2022,1.36
성북구,장위1동,2018,0.7
성북구,장위1동,2019,0.7
성북구,장위1동,2020,0.7
성북구,장위1동,2021,0.7
성북구,장위1동,2022,0.7
성북구,장위2동,2018,0.67
성북구,장위2동,2019,0.67
성북구,장위2동,2020,0.67
성북구,장위2동,2021,0.67
성북구,장위2동,2022,0.67
성북구,장위3동,2018,0.65
성북구,장위3동,2019,0.65
성북구,장위3동,2020,0.65
성북구,장위3동,2021,0.65
성북구,장위3동,2022,0.65
성북구,정릉1동,2018,0.44
성북구,정릉1동,2019,0.44
성북구,정릉1동,2020,0.44
성북구,정릉1동,2021,0.44
성북구,정릉1동,2022,0.44
성북구,정릉2동,2018,1.17
성북구,정릉2동,2019,1.17
성북구,정릉2동,2020,1.17
성북구,정릉2동,2021,1.17
성북구,정릉2동,2022,1.17
성북구,정릉3동,2018,3.71
성북구,정릉3동,2019,3.71
성북구,정릉3동,2020,3.71
성북구,정릉3동,2021,3.71
성북구,정릉3동,2022,3.71
성북구,정릉4동,2018,3.13
성북구,정릉4동,2019,3.13
성북구,정릉4동,2020,3.13
성북구,정릉4동,2021,3.13
성북구,정릉4동,2022,3.13
성북구,종암동,2018,1.46
성북구,종암동,2019,1.46
성북구,종암동,2020,1.46
성북구,종암동,2021,1.46
성북구,종암동,2022,1.46
송파구,가락1동,2018,1.34
송파구,가락1동,2019,1.34
송파구,가락1동,2020,1.34
송파구,가락1동,2021,1.34
송파구,가락1동,2022,1.34
송파구,가락2동,2018,0.96
송파구,가락2동,2019,0.96
송파구,가락2동,2020,0.96
송파구,가락2동,2021,0.96
송파구,가락2동,2022,0.96
송파구,가락본동,2018,1.13
송파구,가락본동,2019,1.13
송파구,가락본동,2020,1.13
송파구,가락본동,2021,1.13
송파구,가락본동,2022,1.13
송파구,거여1동,2018,0.51
송파구,거여1동,2019,0.51
송파구,거여1동,2020,0.51
송파구,거여1동,2021,0.51
송파구,거여1동,2022,0.51
송파구,거여2동,2018,0.53
송파구,거여2동,2019,0.53
송파구,거여2동,2020,0.53
송파구,거여2동,2021,0.53
송파구,거여2동,2022,0.53
송파구,마천1동,2018,0.58
송파구,마천1동,2019,0.58
송파구,마천1동,2020,0.58
송파구,마천1동,2021,0.58
송파구,마천1동,2022,0.58
송파구,마천2동,2018,0.89
송파구,마천2동,2019,0.89
송파구,마천2동,2020,0.89
송파구,마천2동,2021,0.89
송파구,마천2동,2022,0.89
송파구,문정1동,2018,0.56
송파구,문정1동,2019,0.56
송파구,문정1동,2020,0.56
송파구,문정1동,2021,0.56
송파구,문정1동,2022,0.56
송파구,문정2동,2018,2.2
송파구,문정2동,2019,2.2
송파구,문정2동,2020,2.2
송파구,문정2동,2021,2.2
송파구,문정2동,2022,2.2
송파구,방이1동,2018,0.5
송파구,방이1동,2019,0.5
송파구,방이1동,2020,0.5
송파구,방이1동,2021,0.5
송파구,방이1동,2022,0.5
송파구,방이2동,2018,0.8
송파구,방이2동,2019,0.8
